ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"101.42.107.214","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","181","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks5","4512","3","2024-04-24T10:24:48.773Z","86","5960","6918"
"103.58.16.5","elite","AS134202","MY","E-world Communication SDN BHD","386","E-world Communication SDN BHD","4145","socks4","2090","1","2024-04-24T10:24:48.774Z","99","6838","6895"
"81.16.248.246","elite","N/A","GE","JSC \"Global Erty\"","131","N/A","25566","socks4","2311","1","2024-04-24T10:24:48.078Z","100","205","205"
"64.25.54.2","elite","AS35977","US","Amdocs Inc.","126","Amdocs Inc","45160","socks4","71","2","2024-04-24T10:24:48.684Z","100","6867","6868"
"172.105.251.72","elite","AS63949","DE","Akamai Technologies","91","Linode","4003","socks4","5205","1","2024-04-24T10:24:48.682Z","99","6771","6816"
"37.186.125.202","elite","AS49800","AM","GNC-Alfa CJSC","68","GNC","5678","socks4","4706","1","2024-04-24T10:24:48.076Z","100","6885","6906"
"156.239.144.149","elite","AS22773","US","Cox Communications Inc.","122","Bunny Technology LLC","10001","socks4","1483","1","2024-04-24T10:24:48.678Z","41","2813","6866"
"45.77.4.241","elite","AS20473","US","The Constant Company","144","Vultr Holdings, LLC","9050","socks5","1654","1","2024-04-24T10:24:48.778Z","98","6729","6885"
"180.210.222.153","elite","AS203363","GB","Mohammad Saydur Rahman Zia","15","N/A","1080","socks4","71","1","2024-04-24T10:24:48.691Z","75","5186","6912"
"85.92.183.97","elite","AS199335","GB","Talk Straight Ltd.","10","N/A","4145","socks4","1597","1","2024-04-24T10:24:48.680Z","100","6902","6919"
"8.39.228.209","elite","AS3356","US","Level 3 Communications, Inc.","185","Level 3, LLC","39593","socks4","71","1","2024-04-24T10:24:48.779Z","100","6865","6888"
"137.74.95.150","elite","AS16276","PL","OVH SAS","81","OVH SAS","13559","socks4","6197","1","2024-04-24T10:24:48.676Z","100","6921","6921"
"46.101.159.153","elite","AS14061","DE","DigitalOcean, LLC","22","Digital Ocean","52570","socks5","2902","2","2024-04-24T10:24:48.775Z","100","6917","6918"
"107.180.95.93","elite","AS26496","US","GoDaddy.com, LLC","136","GoDaddy.com, LLC","56475","socks5","3692","2","2024-04-24T10:24:48.781Z","100","203","203"
"188.138.179.13","elite","AS31252","MD","StarNet Solutii SRL","49","SC Starnet SRL","4153","socks4","72","1","2024-04-24T10:24:48.077Z","90","6216","6931"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","265","Md. Murad Hossain Ripon","36331","socks4","72","1","2024-04-24T10:24:48.681Z","98","6616","6761"
"107.150.50.226","elite","AS33387","US","Nocix, LLC","100","home","56970","socks5","72","1","2024-04-24T10:24:47.879Z","99","6813","6893"
"75.119.206.53","elite","AS26347","US","New Dream Network, LLC","194","New Dream Network, LLC","15745","socks4","3602","1","2024-04-24T10:24:47.988Z","71","4850","6859"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","184","N/A","1080","socks4","2789","1","2024-04-24T10:24:47.807Z","73","5022","6865"
"1.2.209.194","elite","AS23969","TH","TOT Public Company Limited","389","TOT Public Company Limited","4145","socks4","349","1","2024-04-24T10:24:47.887Z","72","4983","6887"
"177.223.48.126","elite","AS263500","BR","Star Telecom S/A","168","Star Telecom S/A","52104","socks4","4895","1","2024-04-24T10:24:47.986Z","99","6855","6918"
"94.45.152.86","elite","AS210421","UA","Kievline LLC","41","LUX LITE LLC","48256","socks4","74","1","2024-04-24T10:24:47.804Z","98","6750","6911"
"131.108.118.27","elite","AS264353","BR","Catalão Bandnet Serviços Multimídia LTDA - ME","209","Catalão Bandnet Serviços Multimídia LTDA - ME","2022","socks4","4809","78","2024-04-24T10:24:47.883Z","99","6779","6821"
"201.159.103.97","elite","AS28539","MX","Jose Miguel Macias Contreras","161","Jose Miguel Macias Contreras","31337","socks4","882","2","2024-04-24T10:24:47.873Z","98","6755","6895"
"104.20.24.214","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1805","1","2024-04-24T10:24:47.992Z","100","6885","6886"
"132.148.154.98","elite","AS398101","US","GoDaddy.com, LLC","135","GoDaddy.com, LLC","32465","socks5","1310","1","2024-04-24T10:24:47.878Z","100","195","195"
"198.12.255.193","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","31203","socks5","2608","1","2024-04-24T10:24:19.077Z","100","180","180"
"178.245.145.234","elite","AS16135","TR","Turkcell Internet","110","N/A","3128","socks5","3404","1","2024-04-24T10:24:19.088Z","27","1847","6871"
"178.212.52.92","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","81","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","72","2","2024-04-24T10:24:19.075Z","99","6870","6937"
"95.140.126.82","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","36","Milsped","1080","socks4","70","1","2024-04-24T10:24:19.085Z","100","6957","6988"
"185.66.59.77","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","29","Svint","42647","socks4","1204","1","2024-04-24T10:24:18.689Z","86","5871","6863"
"119.235.50.246","elite","AS45582","IN","VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA","166","Vainavi Industries Ltd","4153","socks4","4619","1","2024-04-24T10:24:18.691Z","100","192","192"
